,Estado,Ano,Emissões_CO2e
405,Alagoas,2004,1946.0675998366805
406,Sergipe,2004,1283.4563633915573
407,Bahia,2004,54338.81423963484
408,Minas Gerais,2004,68177.65000613694
409,Espírito Santo,2004,-3689.776020681008
410,Rio de Janeiro,2004,-44.11173732642435
411,São Paulo,2004,7365.343380891385
412,Paraná,2004,2988.430082697204
413,Santa Catarina,2004,-7021.4875206265315
414,Rio Grande do Sul,2004,9834.920680726726
415,Mato Grosso do Sul,2004,114601.55798719564
416,Mato Grosso,2004,735374.3945129497
417,Goiás,2004,100800.13049090776
418,Distrito Federal,2004,1260.7025908627672
420,Rondônia,2005,206739.81390919513
421,Acre,2005,35044.62131324212
422,Amazonas,2005,-38442.46992452388
423,Roraima,2005,1112.8453240010672
424,Pará,2005,528307.1110351079
425,Amapá,2005,77.98007258142755
426,Tocantins,2005,85473.98686555719
427,Maranhão,2005,148844.36559450702
428,Piauí,2005,15990.937121145284
429,Ceará,2005,11746.91803664336
430,Rio Grande do Norte,2005,2522.390618349027
431,Paraíba,2005,1884.8143065362776
432,Pernambuco,2005,2939.2638014666536
433,Alagoas,2005,2071.5144237286004
434,Sergipe,2005,1344.8522848494872
435,Bahia,2005,41005.5776666237
436,Minas Gerais,2005,27102.588939673296
437,Espírito Santo,2005,-3951.3183606275984
438,Rio de Janeiro,2005,-116.63206862439839
439,São Paulo,2005,7761.123279519012
440,Paraná,2005,1158.3115822752227
441,Santa Catarina,2005,-6189.741582025385
442,Rio Grande do Sul,2005,9371.206667661549
443,Mato Grosso do Sul,2005,73859.22749425149
444,Mato Grosso,2005,378713.2700652793
445,Goiás,2005,29542.301139765317
446,Distrito Federal,2005,138.72685078484952
448,Rondônia,2006,145085.0765167517
449,Acre,2006,36514.77089220131
450,Amazonas,2006,-27416.547090677836
451,Roraima,2006,-4489.97333052378
452,Pará,2006,393745.21608187235
453,Amapá,2006,-6645.174896914209
454,Tocantins,2006,53603.71616042197
455,Maranhão,2006,95271.29374093075
456,Piauí,2006,15984.516663752143
457,Ceará,2006,11742.992055074503
458,Rio Grande do Norte,2006,2533.4123639713994
459,Paraíba,2006,1898.149284714394
460,Pernambuco,2006,2988.3578846790306
461,Alagoas,2006,2112.527084710112
462,Sergipe,2006,1408.8416581543754
463,Bahia,2006,46154.58906643341
464,Minas Gerais,2006,31488.353145608038
465,Espírito Santo,2006,-3897.6185864128392
466,Rio de Janeiro,2006,752.0059103532774
467,São Paulo,2006,4626.633608165662
468,Paraná,2006,-7003.5355928724475
469,Santa Catarina,2006,-7053.509200357872
470,Rio Grande do Sul,2006,11542.534532855232
471,Mato Grosso do Sul,2006,71806.42382872142
472,Mato Grosso,2006,294689.94046234014
473,Goiás,2006,29032.7129306605
474,Distrito Federal,2006,138.56650278268293
476,Rondônia,2007,107511.63670848632
477,Acre,2007,8588.69862523799
478,Amazonas,2007,-55289.04938353916
479,Roraima,2007,-1834.9908960404182
480,Pará,2007,349498.6529648577
481,Amapá,2007,-7590.118040419146
482,Tocantins,2007,32620.804112506117
483,Maranhão,2007,107801.64595260101
484,Piauí,2007,12256.435986158695
485,Ceará,2007,10936.283430850965
486,Rio Grande do Norte,2007,2373.2456177496842
487,Paraíba,2007,1779.8980468023105
488,Pernambuco,2007,2810.669710724493
489,Alagoas,2007,1989.1977174445396
490,Sergipe,2007,1348.271228719645
491,Bahia,2007,47274.84431096441
492,Minas Gerais,2007,20925.976968605755
493,Espírito Santo,2007,-3471.2780646773986
494,Rio de Janeiro,2007,793.3999341972841
495,São Paulo,2007,-14581.944680126553
496,Paraná,2007,-8124.85531012792
497,Santa Catarina,2007,-6244.415332649697
498,Rio Grande do Sul,2007,11431.887349769902
499,Mato Grosso do Sul,2007,38313.161021606014
500,Mato Grosso,2007,170730.61136542115
501,Goiás,2007,14318.311597401638
502,Distrito Federal,2007,-176.80437029621876
504,Rondônia,2008,68412.360123783
505,Acre,2008,17610.35560841285
506,Amazonas,2008,-56509.40973559617
507,Roraima,2008,14929.833008909072
508,Pará,2008,358687.47803550184
509,Amapá,2008,-3339.3861163203974
510,Tocantins,2008,40334.88644645921
511,Maranhão,2008,168456.90118210294
512,Piauí,2008,12259.512108746227
513,Ceará,2008,10956.176300636318
514,Rio Grande do Norte,2008,2373.7084107029314
515,Paraíba,2008,1779.637660044242
516,Pernambuco,2008,2804.325703046716
517,Alagoas,2008,1958.3438633272065
518,Sergipe,2008,1345.9314214167205
519,Bahia,2008,47891.90543698758
520,Minas Gerais,2008,20297.929545081883
521,Espírito Santo,2008,-3991.8451283869354
522,Rio de Janeiro,2008,739.2926170260467
523,São Paulo,2008,-13078.279783387921
524,Paraná,2008,-7325.903868961739
525,Santa Catarina,2008,-5715.198648938045
526,Rio Grande do Sul,2008,11301.259277450014
527,Mato Grosso do Sul,2008,37869.52383651939
528,Mato Grosso,2008,210940.30540213303
529,Goiás,2008,14346.009255598134
530,Distrito Federal,2008,-176.780762428942
532,Rondônia,2009,12255.858775144115
533,Acre,2009,5595.373403523438
534,Amazonas,2009,-91509.18154441146
535,Roraima,2009,-13899.506361098345
536,Pará,2009,222106.7212828986
537,Amapá,2009,-5337.364855942964
538,Tocantins,2009,33115.18514529075
539,Maranhão,2009,91962.48772738261
540,Piauí,2009,15648.44237884436
541,Ceará,2009,6782.252866016913
542,Rio Grande do Norte,2009,1046.8501786758766
543,Paraíba,2009,738.2311385307238
544,Pernambuco,2009,872.6212569226907
545,Alagoas,2009,810.5950830297614
546,Sergipe,2009,427.0127109583755
547,Bahia,2009,23661.890212854323
548,Minas Gerais,2009,-5046.98692528563
549,Espírito Santo,2009,-3951.2546174628797
550,Rio de Janeiro,2009,-186.76889642025222
551,São Paulo,2009,-13074.001414011052
552,Paraná,2009,-12422.469339111773
553,Santa Catarina,2009,-14815.478672134916
554,Rio Grande do Sul,2009,8962.102543902802
555,Mato Grosso do Sul,2009,12737.359369408061
556,Mato Grosso,2009,28100.62169309418
557,Goiás,2009,13579.468993092658
558,Distrito Federal,2009,-130.17421156824494
560,Rondônia,2010,8170.725169002358
561,Acre,2010,16375.660522311266
562,Amazonas,2010,-75381.62965483933
563,Roraima,2010,-5971.89115940995
564,Pará,2010,173680.00350467835
565,Amapá,2010,-6489.925272994938
566,Tocantins,2010,31034.00919825716
567,Maranhão,2010,79957.3671868563
568,Piauí,2010,13588.088946853593
569,Ceará,2010,3782.911934171087
570,Rio Grande do Norte,2010,320.2224846406743
571,Paraíba,2010,1468.10346976027
572,Pernambuco,2010,287.4033838667376
573,Alagoas,2010,289.06855775692645
574,Sergipe,2010,502.90764436262907
575,Bahia,2010,6535.002366032283
576,Minas Gerais,2010,-5426.92984737953
577,Espírito Santo,2010,-3946.238995606368
578,Rio de Janeiro,2010,-173.62845451554514
579,São Paulo,2010,-14811.089140694097
580,Paraná,2010,-12359.675265162843
581,Santa Catarina,2010,-16080.758981951201
582,Rio Grande do Sul,2010,15549.709158836537
583,Mato Grosso do Sul,2010,12153.186369988107
584,Mato Grosso,2010,16048.142689035214
585,Goiás,2010,13536.906541472803
586,Distrito Federal,2010,-130.14962802596224
588,Rondônia,2011,39325.60633311597
589,Acre,2011,9574.5386094382
590,Amazonas,2011,-104310.21050348412
591,Roraima,2011,-10773.143785747023
592,Pará,2011,128961.61751983334
593,Amapá,2011,-8124.126739892921
594,Tocantins,2011,21390.66336404421
595,Maranhão,2011,80346.15821477197
596,Piauí,2011,17439.377304124104
597,Ceará,2011,3536.248008704807
598,Rio Grande do Norte,2011,855.8284261206308
599,Paraíba,2011,924.0369879642891
600,Pernambuco,2011,1361.0926720333248
601,Alagoas,2011,185.98509603128662
602,Sergipe,2011,64.08595194994612
603,Bahia,2011,22979.724342164012
604,Minas Gerais,2011,16862.042225686622
605,Espírito Santo,2011,315.6030853788754
606,Rio de Janeiro,2011,-127.70958198342582
607,São Paulo,2011,-6976.878222160034
608,Paraná,2011,-9064.016983962429
609,Santa Catarina,2011,-6247.591568152931
610,Rio Grande do Sul,2011,5002.7070887326245
611,Mato Grosso do Sul,2011,9038.39131703885
612,Mato Grosso,2011,93985.18223835134
613,Goiás,2011,22438.549615006545
