cod;nome;período;valor
33;RJ;2013;4.46
35;SP;2013;2.78
41;PR;2013;5.1
42;SC;2013;3.06
43;RS;2013;3.7
50;MS;2013;5.77
51;MT;2013;5.75
52;GO;2013;8.39
27;AL;2014;7.4
11;RO;2014;6.78
12;AC;2014;4.9
13;AM;2014;4.21
14;RR;2014;9.69
15;PA;2014;6.15
16;AP;2014;5.26
17;TO;2014;4.77
21;MA;2014;4.37
22;PI;2014;3.81
23;CE;2014;6.27
24;RN;2014;5.93
25;PB;2014;5.8
26;PE;2014;4.97
28;SE;2014;6.54
29;BA;2014;5.17
31;MG;2014;3.87
32;ES;2014;7.29
33;RJ;2014;5.31
35;SP;2014;2.72
41;PR;2014;5.07
42;SC;2014;3.28
43;RS;2014;4.38
50;MS;2014;6.45
51;MT;2014;6.92
52;GO;2014;8.83
53;DF;2014;4.11
25;PB;2015;5.46
11;RO;2015;7.53
12;AC;2015;4.58
13;AM;2015;5.95
14;RR;2015;11.45
15;PA;2015;6.37
16;AP;2015;4.63
17;TO;2015;6.46
21;MA;2015;4.23
22;PI;2015;4.03
23;CE;2015;5.55
24;RN;2015;5.3
26;PE;2015;4.81
27;AL;2015;5.59
28;SE;2015;6.12
29;BA;2015;5.1
31;MG;2015;3.96
32;ES;2015;7.25
33;RJ;2015;4.4
35;SP;2015;2.46
41;PR;2015;4.32
42;SC;2015;2.83
43;RS;2015;4.95
50;MS;2015;4.35
51;MT;2015;7.25
52;GO;2015;7.64
53;DF;2015;3.91
51;MT;2016;6.3
11;RO;2016;6.38
12;AC;2016;5.46
13;AM;2016;5.9
14;RR;2016;9.64
15;PA;2016;7.09
16;AP;2016;4.28
17;TO;2016;5.98
21;MA;2016;4.51
22;PI;2016;3
23;CE;2016;4.73
24;RN;2016;5.71
52;GO;2016;7.02
25;PB;2016;5.24
26;PE;2016;5.79
53;DF;2016;4.26
27;AL;2016;5.91
28;SE;2016;5.2
29;BA;2016;5.86
31;MG;2016;3.56
32;ES;2016;5.28
33;RJ;2016;4.84
35;SP;2016;2.21
41;PR;2016;4.18
42;SC;2016;3.08
43;RS;2016;5.34
50;MS;2016;5.92
26;PE;2017;6.32
11;RO;2017;7.23
12;AC;2017;7.95
13;AM;2017;5.76
14;RR;2017;10.05
15;PA;2017;7.42
16;AP;2017;6.65
17;TO;2017;4.99
21;MA;2017;3.58
22;PI;2017;3.11
23;CE;2017;8.06
24;RN;2017;8.37
25;PB;2017;4.28
27;AL;2017;6.46
28;SE;2017;6.61
29;BA;2017;6.44
31;MG;2017;3.66
32;ES;2017;7.58
33;RJ;2017;4.5
35;SP;2017;2.14
41;PR;2017;4.3
42;SC;2017;3.1
43;RS;2017;5.22
50;MS;2017;4.46
51;MT;2017;5.5
52;GO;2017;7.44
53;DF;2017;3.02
53;DF;2018;3.56
11;RO;2018;4.84
12;AC;2018;8.06
13;AM;2018;6.25
14;RR;2018;18.84
15;PA;2018;7.62
16;AP;2018;3.62
17;TO;2018;6.1
21;MA;2018;3.42
22;PI;2018;3.1
23;CE;2018;10.17
24;RN;2018;5.72
25;PB;2018;3.97
26;PE;2018;4.86
27;AL;2018;3.88
28;SE;2018;3.4
29;BA;2018;5.62
31;MG;2018;3.27
32;ES;2018;4.96
33;RJ;2018;4.24
35;SP;2018;1.95
41;PR;2018;3.65
42;SC;2018;2.55
43;RS;2018;4.4
50;MS;2018;4.77
51;MT;2018;5.19
52;GO;2018;6.31
27;AL;2019;5.18
11;RO;2019;4.9
12;AC;2019;7.26
13;AM;2019;5.72
14;RR;2019;11.24
15;PA;2019;5.41
16;AP;2019;4.5
17;TO;2019;4.61
21;MA;2019;3.17
22;PI;2019;2.79
23;CE;2019;4.7
24;RN;2019;5.45
25;PB;2019;3.46
26;PE;2019;4.11
28;SE;2019;4.46
29;BA;2019;5.18
31;MG;2019;2.75
32;ES;2019;4.75
33;RJ;2019;2.41
35;SP;2019;1.72
41;PR;2019;3.5
42;SC;2019;3.16
43;RS;2019;4.04
50;MS;2019;4.36
51;MT;2019;4.89
52;GO;2019;4.55
53;DF;2019;3.51
25;PB;2020;4.49
11;RO;2020;6.07
12;AC;2020;6.03
13;AM;2020;4.05
14;RR;2020;11.4
15;PA;2020;4.45
16;AP;2020;5.11
17;TO;2020;4.43
21;MA;2020;3.86
22;PI;2020;3.19
23;CE;2020;6.74
24;RN;2020;4.47
26;PE;2020;4.45
27;AL;2020;5.1
28;SE;2020;3.58
29;BA;2020;5.78
31;MG;2020;2.49
32;ES;2020;4.89
33;RJ;2020;3.14
35;SP;2020;1.67
41;PR;2020;3.35
42;SC;2020;2.35
43;RS;2020;3.64
50;MS;2020;5.01
51;MT;2020;6.03
52;GO;2020;3.73
53;DF;2020;2.2
50;MS;2021;4.61
11;RO;2021;6.01
12;AC;2021;6.17
13;AM;2021;6.34
14;RR;2021;6.36
15;PA;2021;4.74
16;AP;2021;4.33
17;TO;2021;4.88
21;MA;2021;3.59
22;PI;2021;4
23;CE;2021;7.05
24;RN;2021;3.83
51;MT;2021;4.6
25;PB;2021;3.94
53;DF;2021;2.86
52;GO;2021;3.98
26;PE;2021;4.86
27;AL;2021;3.7
28;SE;2021;3.05
29;BA;2021;6
31;MG;2021;2.29
32;ES;2021;5.99
33;RJ;2021;3.11
35;SP;2021;1.43
41;PR;2021;3.32
42;SC;2021;2.48
43;RS;2021;3.9
