,Unidade Territorial,Referência,Perc RF fam PBF
1849,ALAGOAS,2019-08-01,89.0
1850,SERGIPE,2019-08-01,86.1
1851,BAHIA,2019-08-01,87.2
1852,MINAS GERAIS,2019-08-01,88.8
1853,ESPÍRITO SANTO,2019-08-01,90.2
1854,RIO DE JANEIRO,2019-08-01,89.7
1855,SÃO PAULO,2019-08-01,87.8
1856,PARANÁ,2019-08-01,88.0
1857,SANTA CATARINA,2019-08-01,88.7
1858,RIO GRANDE DO SUL,2019-08-01,88.6
1859,MATO GROSSO DO SUL,2019-08-01,91.1
1860,MATO GROSSO,2019-08-01,91.2
1861,GOIÁS,2019-08-01,92.4
1862,DISTRITO FEDERAL,2019-08-01,89.5
1863,RONDÔNIA,2019-09-01,93.1
1864,ACRE,2019-09-01,88.4
1865,AMAZONAS,2019-09-01,87.4
1866,RORAIMA,2019-09-01,86.1
1867,PARÁ,2019-09-01,89.5
1868,AMAPÁ,2019-09-01,89.8
1869,TOCANTINS,2019-09-01,91.1
1870,MARANHÃO,2019-09-01,88.3
1871,PIAUÍ,2019-09-01,85.7
1872,CEARÁ,2019-09-01,90.4
1873,RIO GRANDE DO NORTE,2019-09-01,89.3
1874,PARAÍBA,2019-09-01,88.4
1875,PERNAMBUCO,2019-09-01,87.0
1876,ALAGOAS,2019-09-01,89.0
1877,SERGIPE,2019-09-01,86.1
1878,BAHIA,2019-09-01,87.1
1879,MINAS GERAIS,2019-09-01,88.7
1880,ESPÍRITO SANTO,2019-09-01,90.2
1881,RIO DE JANEIRO,2019-09-01,89.7
1882,SÃO PAULO,2019-09-01,87.7
1883,PARANÁ,2019-09-01,87.9
1884,SANTA CATARINA,2019-09-01,88.6
1885,RIO GRANDE DO SUL,2019-09-01,88.6
1886,MATO GROSSO DO SUL,2019-09-01,91.1
1887,MATO GROSSO,2019-09-01,91.2
1888,GOIÁS,2019-09-01,92.4
1889,DISTRITO FEDERAL,2019-09-01,89.4
1890,RONDÔNIA,2019-10-01,93.1
1891,ACRE,2019-10-01,88.5
1892,AMAZONAS,2019-10-01,87.5
1893,RORAIMA,2019-10-01,86.3
1894,PARÁ,2019-10-01,89.5
1895,AMAPÁ,2019-10-01,89.9
1896,TOCANTINS,2019-10-01,91.1
1897,MARANHÃO,2019-10-01,88.3
1898,PIAUÍ,2019-10-01,85.8
1899,CEARÁ,2019-10-01,90.4
1900,RIO GRANDE DO NORTE,2019-10-01,89.4
1901,PARAÍBA,2019-10-01,88.5
1902,PERNAMBUCO,2019-10-01,87.0
1903,ALAGOAS,2019-10-01,89.0
1904,SERGIPE,2019-10-01,86.1
1905,BAHIA,2019-10-01,87.2
1906,MINAS GERAIS,2019-10-01,88.8
1907,ESPÍRITO SANTO,2019-10-01,90.3
1908,RIO DE JANEIRO,2019-10-01,89.8
1909,SÃO PAULO,2019-10-01,87.8
1910,PARANÁ,2019-10-01,88.0
1911,SANTA CATARINA,2019-10-01,88.7
1912,RIO GRANDE DO SUL,2019-10-01,88.6
1913,MATO GROSSO DO SUL,2019-10-01,91.1
1914,MATO GROSSO,2019-10-01,91.3
1915,GOIÁS,2019-10-01,92.5
1916,DISTRITO FEDERAL,2019-10-01,89.5
1917,RONDÔNIA,2019-11-01,93.2
1918,ACRE,2019-11-01,88.6
1919,AMAZONAS,2019-11-01,87.5
1920,RORAIMA,2019-11-01,86.4
1921,PARÁ,2019-11-01,89.6
1922,AMAPÁ,2019-11-01,90.0
1923,TOCANTINS,2019-11-01,91.2
1924,MARANHÃO,2019-11-01,88.4
1925,PIAUÍ,2019-11-01,85.8
1926,CEARÁ,2019-11-01,90.5
1927,RIO GRANDE DO NORTE,2019-11-01,89.4
1928,PARAÍBA,2019-11-01,88.5
1929,PERNAMBUCO,2019-11-01,87.1
1930,ALAGOAS,2019-11-01,89.1
1931,SERGIPE,2019-11-01,86.2
1932,BAHIA,2019-11-01,87.2
1933,MINAS GERAIS,2019-11-01,88.8
1934,ESPÍRITO SANTO,2019-11-01,90.4
1935,RIO DE JANEIRO,2019-11-01,89.8
1936,SÃO PAULO,2019-11-01,87.9
1937,PARANÁ,2019-11-01,88.1
1938,SANTA CATARINA,2019-11-01,88.8
1939,RIO GRANDE DO SUL,2019-11-01,88.6
1940,MATO GROSSO DO SUL,2019-11-01,91.2
1941,MATO GROSSO,2019-11-01,91.5
1942,GOIÁS,2019-11-01,92.6
1943,DISTRITO FEDERAL,2019-11-01,89.6
1944,RONDÔNIA,2019-12-01,93.2
1945,ACRE,2019-12-01,88.6
1946,AMAZONAS,2019-12-01,87.5
1947,RORAIMA,2019-12-01,86.5
1948,PARÁ,2019-12-01,89.7
1949,AMAPÁ,2019-12-01,90.1
1950,TOCANTINS,2019-12-01,91.2
1951,MARANHÃO,2019-12-01,88.4
1952,PIAUÍ,2019-12-01,85.9
1953,CEARÁ,2019-12-01,90.5
1954,RIO GRANDE DO NORTE,2019-12-01,89.5
1955,PARAÍBA,2019-12-01,88.5
1956,PERNAMBUCO,2019-12-01,87.1
1957,ALAGOAS,2019-12-01,89.1
1958,SERGIPE,2019-12-01,86.2
1959,BAHIA,2019-12-01,87.3
1960,MINAS GERAIS,2019-12-01,88.9
1961,ESPÍRITO SANTO,2019-12-01,90.5
1962,RIO DE JANEIRO,2019-12-01,89.8
1963,SÃO PAULO,2019-12-01,88.0
1964,PARANÁ,2019-12-01,88.1
1965,SANTA CATARINA,2019-12-01,88.9
1966,RIO GRANDE DO SUL,2019-12-01,88.7
1967,MATO GROSSO DO SUL,2019-12-01,91.3
1968,MATO GROSSO,2019-12-01,91.6
1969,GOIÁS,2019-12-01,92.7
1970,DISTRITO FEDERAL,2019-12-01,89.6
1971,RONDÔNIA,2020-01-01,92.9
1972,ACRE,2020-01-01,88.6
1973,AMAZONAS,2020-01-01,87.5
1974,RORAIMA,2020-01-01,86.5
1975,PARÁ,2020-01-01,89.7
1976,AMAPÁ,2020-01-01,90.1
1977,TOCANTINS,2020-01-01,91.2
1978,MARANHÃO,2020-01-01,88.5
1979,PIAUÍ,2020-01-01,85.9
1980,CEARÁ,2020-01-01,90.5
1981,RIO GRANDE DO NORTE,2020-01-01,89.5
1982,PARAÍBA,2020-01-01,88.5
1983,PERNAMBUCO,2020-01-01,87.1
1984,ALAGOAS,2020-01-01,89.1
1985,SERGIPE,2020-01-01,86.2
1986,BAHIA,2020-01-01,87.3
1987,MINAS GERAIS,2020-01-01,88.8
1988,ESPÍRITO SANTO,2020-01-01,90.4
1989,RIO DE JANEIRO,2020-01-01,89.8
1990,SÃO PAULO,2020-01-01,87.9
1991,PARANÁ,2020-01-01,87.9
1992,SANTA CATARINA,2020-01-01,88.5
1993,RIO GRANDE DO SUL,2020-01-01,88.4
1994,MATO GROSSO DO SUL,2020-01-01,91.2
1995,MATO GROSSO,2020-01-01,91.4
1996,GOIÁS,2020-01-01,92.5
1997,DISTRITO FEDERAL,2020-01-01,89.6
1998,RONDÔNIA,2020-02-01,92.9
1999,ACRE,2020-02-01,88.7
2000,AMAZONAS,2020-02-01,87.5
2001,RORAIMA,2020-02-01,86.5
2002,PARÁ,2020-02-01,89.7
2003,AMAPÁ,2020-02-01,90.1
2004,TOCANTINS,2020-02-01,91.2
2005,MARANHÃO,2020-02-01,88.5
2006,PIAUÍ,2020-02-01,85.9
2007,CEARÁ,2020-02-01,90.5
2008,RIO GRANDE DO NORTE,2020-02-01,89.5
2009,PARAÍBA,2020-02-01,88.5
2010,PERNAMBUCO,2020-02-01,87.1
2011,ALAGOAS,2020-02-01,89.1
2012,SERGIPE,2020-02-01,86.2
2013,BAHIA,2020-02-01,87.3
2014,MINAS GERAIS,2020-02-01,88.8
2015,ESPÍRITO SANTO,2020-02-01,90.4
2016,RIO DE JANEIRO,2020-02-01,89.8
2017,SÃO PAULO,2020-02-01,87.9
2018,PARANÁ,2020-02-01,88.0
2019,SANTA CATARINA,2020-02-01,88.6
2020,RIO GRANDE DO SUL,2020-02-01,88.4
2021,MATO GROSSO DO SUL,2020-02-01,91.3
2022,MATO GROSSO,2020-02-01,91.4
2023,GOIÁS,2020-02-01,92.5
2024,DISTRITO FEDERAL,2020-02-01,89.7
2025,RONDÔNIA,2020-03-01,92.9
2026,ACRE,2020-03-01,88.8
2027,AMAZONAS,2020-03-01,87.7
2028,RORAIMA,2020-03-01,86.9
2029,PARÁ,2020-03-01,89.8
2030,AMAPÁ,2020-03-01,90.3
2031,TOCANTINS,2020-03-01,91.3
2032,MARANHÃO,2020-03-01,88.6
2033,PIAUÍ,2020-03-01,86.1
2034,CEARÁ,2020-03-01,90.7
2035,RIO GRANDE DO NORTE,2020-03-01,89.6
2036,PARAÍBA,2020-03-01,88.7
2037,PERNAMBUCO,2020-03-01,87.3
2038,ALAGOAS,2020-03-01,89.2
2039,SERGIPE,2020-03-01,86.5
2040,BAHIA,2020-03-01,87.5
2041,MINAS GERAIS,2020-03-01,88.7
2042,ESPÍRITO SANTO,2020-03-01,90.3
2043,RIO DE JANEIRO,2020-03-01,90.1
2044,SÃO PAULO,2020-03-01,88.1
2045,PARANÁ,2020-03-01,87.8
2046,SANTA CATARINA,2020-03-01,88.3
2047,RIO GRANDE DO SUL,2020-03-01,88.5
2048,MATO GROSSO DO SUL,2020-03-01,91.4
2049,MATO GROSSO,2020-03-01,91.6
2050,GOIÁS,2020-03-01,92.5
2051,DISTRITO FEDERAL,2020-03-01,88.7
2052,RONDÔNIA,2020-04-01,92.2
2053,ACRE,2020-04-01,88.4
2054,AMAZONAS,2020-04-01,87.5
2055,RORAIMA,2020-04-01,85.4
2056,PARÁ,2020-04-01,89.4
2057,AMAPÁ,2020-04-01,90.0
2058,TOCANTINS,2020-04-01,90.5
2059,MARANHÃO,2020-04-01,88.3
2060,PIAUÍ,2020-04-01,85.7
2061,CEARÁ,2020-04-01,89.7
2062,RIO GRANDE DO NORTE,2020-04-01,88.8
2063,PARAÍBA,2020-04-01,88.1
2064,PERNAMBUCO,2020-04-01,86.8
2065,ALAGOAS,2020-04-01,88.7
2066,SERGIPE,2020-04-01,86.1
2067,BAHIA,2020-04-01,87.0
2068,MINAS GERAIS,2020-04-01,87.9
2069,ESPÍRITO SANTO,2020-04-01,89.1
2070,RIO DE JANEIRO,2020-04-01,88.4
2071,SÃO PAULO,2020-04-01,87.0
2072,PARANÁ,2020-04-01,87.2
2073,SANTA CATARINA,2020-04-01,87.3
2074,RIO GRANDE DO SUL,2020-04-01,87.4
2075,MATO GROSSO DO SUL,2020-04-01,90.1
2076,MATO GROSSO,2020-04-01,90.3
2077,GOIÁS,2020-04-01,92.0
2078,DISTRITO FEDERAL,2020-04-01,88.5
2079,RONDÔNIA,2020-05-01,92.2
2080,ACRE,2020-05-01,88.4
2081,AMAZONAS,2020-05-01,87.5
2082,RORAIMA,2020-05-01,85.4
2083,PARÁ,2020-05-01,89.4
2084,AMAPÁ,2020-05-01,90.0
2085,TOCANTINS,2020-05-01,90.5
2086,MARANHÃO,2020-05-01,88.3
2087,PIAUÍ,2020-05-01,85.7
2088,CEARÁ,2020-05-01,89.7
2089,RIO GRANDE DO NORTE,2020-05-01,88.8
2090,PARAÍBA,2020-05-01,88.1
2091,PERNAMBUCO,2020-05-01,86.8
2092,ALAGOAS,2020-05-01,88.7
2093,SERGIPE,2020-05-01,86.1
2094,BAHIA,2020-05-01,86.9
2095,MINAS GERAIS,2020-05-01,87.9
2096,ESPÍRITO SANTO,2020-05-01,89.2
2097,RIO DE JANEIRO,2020-05-01,88.4
2098,SÃO PAULO,2020-05-01,87.0
2099,PARANÁ,2020-05-01,87.2
2100,SANTA CATARINA,2020-05-01,87.4
2101,RIO GRANDE DO SUL,2020-05-01,87.4
2102,MATO GROSSO DO SUL,2020-05-01,90.1
2103,MATO GROSSO,2020-05-01,90.3
2104,GOIÁS,2020-05-01,92.0
2105,DISTRITO FEDERAL,2020-05-01,88.5
2106,RONDÔNIA,2020-06-01,92.2
2107,ACRE,2020-06-01,88.4
2108,AMAZONAS,2020-06-01,87.5
2109,RORAIMA,2020-06-01,85.3
2110,PARÁ,2020-06-01,89.4
2111,AMAPÁ,2020-06-01,90.0
2112,TOCANTINS,2020-06-01,90.5
2113,MARANHÃO,2020-06-01,88.3
2114,PIAUÍ,2020-06-01,85.7
2115,CEARÁ,2020-06-01,89.7
2116,RIO GRANDE DO NORTE,2020-06-01,88.8
2117,PARAÍBA,2020-06-01,88.1
2118,PERNAMBUCO,2020-06-01,86.8
2119,ALAGOAS,2020-06-01,88.6
2120,SERGIPE,2020-06-01,86.1
2121,BAHIA,2020-06-01,86.9
2122,MINAS GERAIS,2020-06-01,87.9
2123,ESPÍRITO SANTO,2020-06-01,89.1
2124,RIO DE JANEIRO,2020-06-01,88.4
2125,SÃO PAULO,2020-06-01,87.0
2126,PARANÁ,2020-06-01,87.1
2127,SANTA CATARINA,2020-06-01,87.2
2128,RIO GRANDE DO SUL,2020-06-01,87.4
2129,MATO GROSSO DO SUL,2020-06-01,90.1
2130,MATO GROSSO,2020-06-01,90.3
2131,GOIÁS,2020-06-01,92.0
2132,DISTRITO FEDERAL,2020-06-01,88.4
2133,RONDÔNIA,2020-07-01,92.2
2134,ACRE,2020-07-01,88.4
2135,AMAZONAS,2020-07-01,87.5
2136,RORAIMA,2020-07-01,85.3
2137,PARÁ,2020-07-01,89.4
2138,AMAPÁ,2020-07-01,90.0
2139,TOCANTINS,2020-07-01,90.4
2140,MARANHÃO,2020-07-01,88.3
2141,PIAUÍ,2020-07-01,85.7
2142,CEARÁ,2020-07-01,89.7
2143,RIO GRANDE DO NORTE,2020-07-01,88.8
2144,PARAÍBA,2020-07-01,88.1
2145,PERNAMBUCO,2020-07-01,86.8
2146,ALAGOAS,2020-07-01,88.6
2147,SERGIPE,2020-07-01,86.1
2148,BAHIA,2020-07-01,86.9
2149,MINAS GERAIS,2020-07-01,87.9
2150,ESPÍRITO SANTO,2020-07-01,89.1
2151,RIO DE JANEIRO,2020-07-01,88.4
2152,SÃO PAULO,2020-07-01,86.9
2153,PARANÁ,2020-07-01,87.1
2154,SANTA CATARINA,2020-07-01,87.2
2155,RIO GRANDE DO SUL,2020-07-01,87.4
2156,MATO GROSSO DO SUL,2020-07-01,90.0
2157,MATO GROSSO,2020-07-01,90.3
2158,GOIÁS,2020-07-01,91.9
2159,DISTRITO FEDERAL,2020-07-01,88.4
2160,RONDÔNIA,2020-08-01,92.1
2161,ACRE,2020-08-01,88.4
2162,AMAZONAS,2020-08-01,87.5
2163,RORAIMA,2020-08-01,85.3
2164,PARÁ,2020-08-01,89.4
2165,AMAPÁ,2020-08-01,89.9
2166,TOCANTINS,2020-08-01,90.4
2167,MARANHÃO,2020-08-01,88.3
2168,PIAUÍ,2020-08-01,85.7
2169,CEARÁ,2020-08-01,89.7
2170,RIO GRANDE DO NORTE,2020-08-01,88.8
2171,PARAÍBA,2020-08-01,88.1
2172,PERNAMBUCO,2020-08-01,86.8
2173,ALAGOAS,2020-08-01,88.6
2174,SERGIPE,2020-08-01,86.1
2175,BAHIA,2020-08-01,86.9
2176,MINAS GERAIS,2020-08-01,87.8
2177,ESPÍRITO SANTO,2020-08-01,89.1
2178,RIO DE JANEIRO,2020-08-01,88.4
2179,SÃO PAULO,2020-08-01,86.9
2180,PARANÁ,2020-08-01,87.0
2181,SANTA CATARINA,2020-08-01,87.1
2182,RIO GRANDE DO SUL,2020-08-01,87.3
2183,MATO GROSSO DO SUL,2020-08-01,90.0
2184,MATO GROSSO,2020-08-01,90.3
2185,GOIÁS,2020-08-01,91.9
2186,DISTRITO FEDERAL,2020-08-01,88.4
2187,RONDÔNIA,2020-09-01,92.2
2188,ACRE,2020-09-01,88.4
2189,AMAZONAS,2020-09-01,87.5
2190,RORAIMA,2020-09-01,85.3
2191,PARÁ,2020-09-01,89.4
2192,AMAPÁ,2020-09-01,90.0
2193,TOCANTINS,2020-09-01,90.5
2194,MARANHÃO,2020-09-01,88.3
2195,PIAUÍ,2020-09-01,85.7
2196,CEARÁ,2020-09-01,89.7
2197,RIO GRANDE DO NORTE,2020-09-01,88.8
2198,PARAÍBA,2020-09-01,88.1
2199,PERNAMBUCO,2020-09-01,86.8
2200,ALAGOAS,2020-09-01,88.7
2201,SERGIPE,2020-09-01,86.1
2202,BAHIA,2020-09-01,87.0
2203,MINAS GERAIS,2020-09-01,87.9
2204,ESPÍRITO SANTO,2020-09-01,89.2
2205,RIO DE JANEIRO,2020-09-01,88.5
2206,SÃO PAULO,2020-09-01,87.0
2207,PARANÁ,2020-09-01,87.2
2208,SANTA CATARINA,2020-09-01,87.3
2209,RIO GRANDE DO SUL,2020-09-01,87.4
2210,MATO GROSSO DO SUL,2020-09-01,90.1
2211,MATO GROSSO,2020-09-01,90.3
2212,GOIÁS,2020-09-01,92.0
2213,DISTRITO FEDERAL,2020-09-01,88.5
2214,RONDÔNIA,2020-10-01,92.2
2215,ACRE,2020-10-01,88.4
2216,AMAZONAS,2020-10-01,87.5
2217,RORAIMA,2020-10-01,85.3
2218,PARÁ,2020-10-01,89.4
2219,AMAPÁ,2020-10-01,90.0
2220,TOCANTINS,2020-10-01,90.5
2221,MARANHÃO,2020-10-01,88.3
2222,PIAUÍ,2020-10-01,85.7
2223,CEARÁ,2020-10-01,89.7
2224,RIO GRANDE DO NORTE,2020-10-01,88.8
2225,PARAÍBA,2020-10-01,88.1
2226,PERNAMBUCO,2020-10-01,86.8
2227,ALAGOAS,2020-10-01,88.6
2228,SERGIPE,2020-10-01,86.1
2229,BAHIA,2020-10-01,87.0
2230,MINAS GERAIS,2020-10-01,87.9
2231,ESPÍRITO SANTO,2020-10-01,89.1
2232,RIO DE JANEIRO,2020-10-01,88.5
2233,SÃO PAULO,2020-10-01,87.0
2234,PARANÁ,2020-10-01,87.2
2235,SANTA CATARINA,2020-10-01,87.3
2236,RIO GRANDE DO SUL,2020-10-01,87.4
2237,MATO GROSSO DO SUL,2020-10-01,90.0
2238,MATO GROSSO,2020-10-01,90.3
2239,GOIÁS,2020-10-01,92.0
2240,DISTRITO FEDERAL,2020-10-01,88.5
2241,RONDÔNIA,2020-11-01,92.1
2242,ACRE,2020-11-01,88.4
2243,AMAZONAS,2020-11-01,87.5
2244,RORAIMA,2020-11-01,85.3
2245,PARÁ,2020-11-01,89.4
2246,AMAPÁ,2020-11-01,90.0
2247,TOCANTINS,2020-11-01,90.4
2248,MARANHÃO,2020-11-01,88.3
2249,PIAUÍ,2020-11-01,85.7
2250,CEARÁ,2020-11-01,89.7
2251,RIO GRANDE DO NORTE,2020-11-01,88.8
2252,PARAÍBA,2020-11-01,88.1
2253,PERNAMBUCO,2020-11-01,86.8
2254,ALAGOAS,2020-11-01,88.6
2255,SERGIPE,2020-11-01,86.1
2256,BAHIA,2020-11-01,86.9
2257,MINAS GERAIS,2020-11-01,87.9
2258,ESPÍRITO SANTO,2020-11-01,89.1
2259,RIO DE JANEIRO,2020-11-01,88.4
2260,SÃO PAULO,2020-11-01,86.9
2261,PARANÁ,2020-11-01,87.1
2262,SANTA CATARINA,2020-11-01,87.2
2263,RIO GRANDE DO SUL,2020-11-01,87.3
2264,MATO GROSSO DO SUL,2020-11-01,90.0
2265,MATO GROSSO,2020-11-01,90.3
2266,GOIÁS,2020-11-01,91.9
2267,DISTRITO FEDERAL,2020-11-01,88.4
2268,RONDÔNIA,2020-12-01,92.0
2269,ACRE,2020-12-01,88.4
2270,AMAZONAS,2020-12-01,87.4
2271,RORAIMA,2020-12-01,85.2
2272,PARÁ,2020-12-01,89.4
2273,AMAPÁ,2020-12-01,89.9
2274,TOCANTINS,2020-12-01,90.4
2275,MARANHÃO,2020-12-01,88.3
2276,PIAUÍ,2020-12-01,85.7
2277,CEARÁ,2020-12-01,89.7
2278,RIO GRANDE DO NORTE,2020-12-01,88.8
2279,PARAÍBA,2020-12-01,88.0
2280,PERNAMBUCO,2020-12-01,86.7
2281,ALAGOAS,2020-12-01,88.6
2282,SERGIPE,2020-12-01,86.0
2283,BAHIA,2020-12-01,86.9
2284,MINAS GERAIS,2020-12-01,87.8
2285,ESPÍRITO SANTO,2020-12-01,89.0
2286,RIO DE JANEIRO,2020-12-01,88.4
2287,SÃO PAULO,2020-12-01,86.8
2288,PARANÁ,2020-12-01,87.0
2289,SANTA CATARINA,2020-12-01,87.1
2290,RIO GRANDE DO SUL,2020-12-01,87.3
2291,MATO GROSSO DO SUL,2020-12-01,89.9
2292,MATO GROSSO,2020-12-01,90.2
2293,GOIÁS,2020-12-01,91.9
2294,DISTRITO FEDERAL,2020-12-01,88.4
2295,RONDÔNIA,2021-01-01,92.3
2296,ACRE,2021-01-01,88.5
2297,AMAZONAS,2021-01-01,87.5
2298,RORAIMA,2021-01-01,85.3
2299,PARÁ,2021-01-01,89.4
2300,AMAPÁ,2021-01-01,90.0
2301,TOCANTINS,2021-01-01,90.5
2302,MARANHÃO,2021-01-01,88.3
2303,PIAUÍ,2021-01-01,85.7
2304,CEARÁ,2021-01-01,89.7
2305,RIO GRANDE DO NORTE,2021-01-01,88.9
2306,PARAÍBA,2021-01-01,88.1
2307,PERNAMBUCO,2021-01-01,86.8
2308,ALAGOAS,2021-01-01,88.7
2309,SERGIPE,2021-01-01,86.1
2310,BAHIA,2021-01-01,87.0
2311,MINAS GERAIS,2021-01-01,88.0
2312,ESPÍRITO SANTO,2021-01-01,89.2
2313,RIO DE JANEIRO,2021-01-01,88.5
2314,SÃO PAULO,2021-01-01,87.0
2315,PARANÁ,2021-01-01,87.3
2316,SANTA CATARINA,2021-01-01,87.4
2317,RIO GRANDE DO SUL,2021-01-01,87.5
2318,MATO GROSSO DO SUL,2021-01-01,90.1
2319,MATO GROSSO,2021-01-01,90.4
2320,GOIÁS,2021-01-01,92.0
2321,DISTRITO FEDERAL,2021-01-01,88.5
2322,RONDÔNIA,2021-02-01,91.9
2323,ACRE,2021-02-01,88.5
2324,AMAZONAS,2021-02-01,87.5
2325,RORAIMA,2021-02-01,85.3
2326,PARÁ,2021-02-01,89.4
2327,AMAPÁ,2021-02-01,90.0
2328,TOCANTINS,2021-02-01,90.3
2329,MARANHÃO,2021-02-01,88.3
2330,PIAUÍ,2021-02-01,85.7
2331,CEARÁ,2021-02-01,89.7
2332,RIO GRANDE DO NORTE,2021-02-01,88.8
2333,PARAÍBA,2021-02-01,88.1
2334,PERNAMBUCO,2021-02-01,86.7
2335,ALAGOAS,2021-02-01,88.5
2336,SERGIPE,2021-02-01,86.1
2337,BAHIA,2021-02-01,87.0
2338,MINAS GERAIS,2021-02-01,87.5
2339,ESPÍRITO SANTO,2021-02-01,88.9
2340,RIO DE JANEIRO,2021-02-01,88.4
2341,SÃO PAULO,2021-02-01,86.8
2342,PARANÁ,2021-02-01,86.7
2343,SANTA CATARINA,2021-02-01,86.9
2344,RIO GRANDE DO SUL,2021-02-01,86.9
2345,MATO GROSSO DO SUL,2021-02-01,89.8
2346,MATO GROSSO,2021-02-01,90.0
2347,GOIÁS,2021-02-01,91.6
2348,DISTRITO FEDERAL,2021-02-01,88.5
2349,RONDÔNIA,2021-03-01,91.7
2350,ACRE,2021-03-01,88.3
2351,AMAZONAS,2021-03-01,87.5
2352,RORAIMA,2021-03-01,85.3
2353,PARÁ,2021-03-01,89.3
2354,AMAPÁ,2021-03-01,90.1
2355,TOCANTINS,2021-03-01,90.1
2356,MARANHÃO,2021-03-01,88.3
2357,PIAUÍ,2021-03-01,85.6
2358,CEARÁ,2021-03-01,89.5
2359,RIO GRANDE DO NORTE,2021-03-01,88.6
2360,PARAÍBA,2021-03-01,88.0
2361,PERNAMBUCO,2021-03-01,86.6
2362,ALAGOAS,2021-03-01,88.4
2363,SERGIPE,2021-03-01,86.0
2364,BAHIA,2021-03-01,86.8
2365,MINAS GERAIS,2021-03-01,87.2
2366,ESPÍRITO SANTO,2021-03-01,88.5
2367,RIO DE JANEIRO,2021-03-01,87.8
2368,SÃO PAULO,2021-03-01,86.4
2369,PARANÁ,2021-03-01,86.3
2370,SANTA CATARINA,2021-03-01,86.6
2371,RIO GRANDE DO SUL,2021-03-01,86.6
2372,MATO GROSSO DO SUL,2021-03-01,89.6
2373,MATO GROSSO,2021-03-01,89.8
2374,GOIÁS,2021-03-01,91.5
2375,DISTRITO FEDERAL,2021-03-01,87.4
2376,RONDÔNIA,2021-04-01,91.7
2377,ACRE,2021-04-01,88.3
2378,AMAZONAS,2021-04-01,87.5
2379,RORAIMA,2021-04-01,85.3
2380,PARÁ,2021-04-01,89.3
2381,AMAPÁ,2021-04-01,90.1
2382,TOCANTINS,2021-04-01,90.0
2383,MARANHÃO,2021-04-01,88.2
2384,PIAUÍ,2021-04-01,85.6
2385,CEARÁ,2021-04-01,89.5
2386,RIO GRANDE DO NORTE,2021-04-01,88.6
2387,PARAÍBA,2021-04-01,88.0
2388,PERNAMBUCO,2021-04-01,86.6
2389,ALAGOAS,2021-04-01,88.4
2390,SERGIPE,2021-04-01,86.0
2391,BAHIA,2021-04-01,86.8
2392,MINAS GERAIS,2021-04-01,87.1
2393,ESPÍRITO SANTO,2021-04-01,88.5
2394,RIO DE JANEIRO,2021-04-01,87.7
2395,SÃO PAULO,2021-04-01,86.2
2396,PARANÁ,2021-04-01,86.2
2397,SANTA CATARINA,2021-04-01,86.6
2398,RIO GRANDE DO SUL,2021-04-01,86.6
2399,MATO GROSSO DO SUL,2021-04-01,89.6
2400,MATO GROSSO,2021-04-01,89.7
2401,GOIÁS,2021-04-01,91.5
2402,DISTRITO FEDERAL,2021-04-01,87.4
2403,RONDÔNIA,2021-05-01,91.6
2404,ACRE,2021-05-01,88.3
2405,AMAZONAS,2021-05-01,87.4
2406,RORAIMA,2021-05-01,85.2
2407,PARÁ,2021-05-01,89.3
2408,AMAPÁ,2021-05-01,90.0
2409,TOCANTINS,2021-05-01,90.0
2410,MARANHÃO,2021-05-01,88.2
2411,PIAUÍ,2021-05-01,85.6
2412,CEARÁ,2021-05-01,89.5
2413,RIO GRANDE DO NORTE,2021-05-01,88.6
2414,PARAÍBA,2021-05-01,88.0
2415,PERNAMBUCO,2021-05-01,86.6
2416,ALAGOAS,2021-05-01,88.4
2417,SERGIPE,2021-05-01,86.0
2418,BAHIA,2021-05-01,86.8
2419,MINAS GERAIS,2021-05-01,87.1
2420,ESPÍRITO SANTO,2021-05-01,88.5
2421,RIO DE JANEIRO,2021-05-01,87.7
2422,SÃO PAULO,2021-05-01,86.2
2423,PARANÁ,2021-05-01,86.1
2424,SANTA CATARINA,2021-05-01,86.4
2425,RIO GRANDE DO SUL,2021-05-01,86.5
2426,MATO GROSSO DO SUL,2021-05-01,89.5
2427,MATO GROSSO,2021-05-01,89.6
2428,GOIÁS,2021-05-01,91.5
2429,DISTRITO FEDERAL,2021-05-01,87.4
2430,RONDÔNIA,2021-06-01,91.6
2431,ACRE,2021-06-01,88.3
2432,AMAZONAS,2021-06-01,87.4
2433,RORAIMA,2021-06-01,85.2
2434,PARÁ,2021-06-01,89.3
2435,AMAPÁ,2021-06-01,90.0
2436,TOCANTINS,2021-06-01,90.0
2437,MARANHÃO,2021-06-01,88.2
2438,PIAUÍ,2021-06-01,85.6
2439,CEARÁ,2021-06-01,89.5
2440,RIO GRANDE DO NORTE,2021-06-01,88.5
2441,PARAÍBA,2021-06-01,88.0
2442,PERNAMBUCO,2021-06-01,86.6
2443,ALAGOAS,2021-06-01,88.4
2444,SERGIPE,2021-06-01,86.0
2445,BAHIA,2021-06-01,86.8
2446,MINAS GERAIS,2021-06-01,87.1
2447,ESPÍRITO SANTO,2021-06-01,88.4
2448,RIO DE JANEIRO,2021-06-01,87.7
2449,SÃO PAULO,2021-06-01,86.2
2450,PARANÁ,2021-06-01,86.0
2451,SANTA CATARINA,2021-06-01,86.3
2452,RIO GRANDE DO SUL,2021-06-01,86.4
