,Unidade Territorial,Referência,TAC
370,SÃO PAULO,2016-05-01,66.42
371,PARANÁ,2016-05-01,70.79
372,SANTA CATARINA,2016-05-01,63.41
373,RIO GRANDE DO SUL,2016-05-01,65.58
374,MATO GROSSO DO SUL,2016-05-01,66.99
375,MATO GROSSO,2016-05-01,68.11
376,GOIÁS,2016-05-01,67.39
377,DISTRITO FEDERAL,2016-05-01,52.39
378,RONDÔNIA,2016-06-01,62.71
379,ACRE,2016-06-01,77.14
380,AMAZONAS,2016-06-01,72.24
381,RORAIMA,2016-06-01,81.07
382,PARÁ,2016-06-01,72.94
383,AMAPÁ,2016-06-01,77.86
384,TOCANTINS,2016-06-01,74.03
385,MARANHÃO,2016-06-01,70.63
386,PIAUÍ,2016-06-01,71.88
387,CEARÁ,2016-06-01,75.07
388,RIO GRANDE DO NORTE,2016-06-01,71.63
389,PARAÍBA,2016-06-01,73.97
390,PERNAMBUCO,2016-06-01,75.05
391,ALAGOAS,2016-06-01,71.45
392,SERGIPE,2016-06-01,72.94
393,BAHIA,2016-06-01,74.76
394,MINAS GERAIS,2016-06-01,69.43
395,ESPÍRITO SANTO,2016-06-01,65.72
396,RIO DE JANEIRO,2016-06-01,65.57
397,SÃO PAULO,2016-06-01,65.67
398,PARANÁ,2016-06-01,70.22
399,SANTA CATARINA,2016-06-01,62.47
400,RIO GRANDE DO SUL,2016-06-01,64.46
401,MATO GROSSO DO SUL,2016-06-01,65.95
402,MATO GROSSO,2016-06-01,66.96
403,GOIÁS,2016-06-01,66.52
404,DISTRITO FEDERAL,2016-06-01,51.23
405,RONDÔNIA,2016-07-01,61.77
406,ACRE,2016-07-01,76.69
407,AMAZONAS,2016-07-01,71.97
408,RORAIMA,2016-07-01,79.84
409,PARÁ,2016-07-01,72.3
410,AMAPÁ,2016-07-01,76.78
411,TOCANTINS,2016-07-01,73.61
412,MARANHÃO,2016-07-01,70.53
413,PIAUÍ,2016-07-01,71.34
414,CEARÁ,2016-07-01,74.23
415,RIO GRANDE DO NORTE,2016-07-01,70.99
416,PARAÍBA,2016-07-01,73.51
417,PERNAMBUCO,2016-07-01,74.43
418,ALAGOAS,2016-07-01,70.68
419,SERGIPE,2016-07-01,72.66
420,BAHIA,2016-07-01,74.39
421,MINAS GERAIS,2016-07-01,68.93
422,ESPÍRITO SANTO,2016-07-01,64.87
423,RIO DE JANEIRO,2016-07-01,64.94
424,SÃO PAULO,2016-07-01,65.4
425,PARANÁ,2016-07-01,69.96
426,SANTA CATARINA,2016-07-01,61.81
427,RIO GRANDE DO SUL,2016-07-01,63.49
428,MATO GROSSO DO SUL,2016-07-01,65.25
429,MATO GROSSO,2016-07-01,66.27
430,GOIÁS,2016-07-01,66.12
431,DISTRITO FEDERAL,2016-07-01,50.94
432,RONDÔNIA,2016-08-01,61.16
433,ACRE,2016-08-01,76.19
